,Total Amount Funded,Monthly PAYMENT,Home Ownership,Monthly Income,Approx. Fico Score,Total CREDIT Lines,Revolving CREDIT Balance,Revolving Line Utilization,Inquiries in the Last 6 Months,Last Delinquency,Last Record,EmployedCat,Status
28870,13600,337.2,RENT,4166.67,732.0,16.0,517.0,17.2,2.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
28872,10000,337.23,OWN,10000.0,669.0,21.0,5493.0,54.9,0.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
28873,10000,337.23,RENT,2916.67,695.0,25.0,7380.0,57.7,1.0,NEVER,LAST TEN,0_TO_4_YRS,Delinquent
28874,10000,337.23,RENT,7000.0,695.0,10.0,292.0,2.2,2.0,LAST YEAR,NEVER,5_TO_9_YRS,Delinquent
28876,10000,337.23,RENT,4625.0,695.0,13.0,12902.0,67.5,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28877,10000,337.23,RENT,4166.67,669.0,12.0,3245.0,51.5,0.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
28878,10000,337.23,RENT,4666.67,669.0,28.0,11379.0,61.2,0.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
28879,10000,337.23,RENT,4242.6,695.0,14.0,6233.0,97.4,0.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
28882,14500,337.24,OWN,3380.0,695.0,15.0,11887.0,35.8,0.0,NEVER,LAST TEN,10_YRS_PLUS,Not Delinquent
28883,14500,337.24,RENT,7000.0,695.0,31.0,10772.0,55.0,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28887,9600,337.32,RENT,5250.0,669.0,12.0,6121.0,69.6,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28888,9600,337.32,MORTGAGE,4750.0,669.0,9.0,4895.0,38.5,2.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
28889,9600,337.32,RENT,2916.67,669.0,16.0,18840.0,61.8,2.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
28890,9600,337.32,MORTGAGE,3916.67,669.0,23.0,13340.0,87.2,2.0,LAST TEN,NEVER,5_TO_9_YRS,Not Delinquent
28891,9600,337.32,MORTGAGE,5500.0,650.0,24.0,25348.0,91.6,1.0,LAST FIVE,JUST NOW,10_YRS_PLUS,Not Delinquent
28892,10200,337.38,RENT,7500.0,695.0,17.0,7814.0,78.9,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
28893,10625,337.38,MORTGAGE,3666.67,732.0,46.0,26315.0,44.0,0.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
28894,10400,337.39,RENT,3250.0,695.0,15.0,4819.0,77.7,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28896,10000,337.45,MORTGAGE,4800.0,732.0,13.0,2341.0,15.0,1.0,LAST FIVE,LAST TEN,10_YRS_PLUS,Not Delinquent
28897,10000,337.45,RENT,4130.92,695.0,9.0,0.0,0.0,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
28898,10000,337.45,RENT,3666.67,695.0,30.0,6255.0,56.9,5.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
28899,10000,337.45,RENT,3333.33,695.0,17.0,6845.0,29.9,1.0,LAST FIVE,NEVER,5_TO_9_YRS,Delinquent
28902,13000,337.45,RENT,5883.0,669.0,16.0,11154.0,58.7,2.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
28903,10000,337.45,RENT,3750.0,695.0,24.0,3140.0,35.7,3.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
28905,10000,337.47,RENT,4166.67,695.0,7.0,11320.0,80.3,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28906,10000,337.47,RENT,2500.0,732.0,9.0,5611.0,96.7,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28907,10000,337.47,RENT,1600.0,695.0,6.0,6042.0,77.6,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28908,9600,337.47,RENT,2800.0,669.0,6.0,9917.0,66.6,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28909,10000,337.47,MORTGAGE,3530.8,695.0,12.0,2902.0,38.2,0.0,LAST TEN,NEVER,10_YRS_PLUS,Not Delinquent
28910,10000,337.47,RENT,6250.0,732.0,10.0,343.0,4.6,1.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
28911,10000,337.47,RENT,4000.0,695.0,13.0,7990.0,82.3,1.0,LAST TEN,NEVER,5_TO_9_YRS,Not Delinquent
28912,10000,337.47,MORTGAGE,4750.0,695.0,28.0,12407.0,63.1,0.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
28913,10000,337.47,RENT,8333.33,695.0,14.0,10599.0,96.4,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28915,10000,337.47,MORTGAGE,3333.33,695.0,20.0,20934.0,59.8,1.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
28916,10000,337.47,RENT,6000.0,695.0,19.0,11220.0,58.7,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
28917,10000,337.47,MORTGAGE,2916.67,695.0,12.0,8149.0,45.5,1.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
28918,10000,337.47,RENT,5391.67,695.0,11.0,14331.0,77.3,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28919,10000,337.47,RENT,3750.0,695.0,20.0,5531.0,70.9,0.0,LAST YEAR,NEVER,0_TO_4_YRS,Not Delinquent
28920,9600,337.47,MORTGAGE,5416.67,669.0,27.0,8588.0,51.4,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28921,10000,337.47,RENT,6250.0,695.0,16.0,19189.0,50.5,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28922,10000,337.47,OWN,5000.0,695.0,14.0,2853.0,32.1,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28923,10000,337.47,RENT,4934.83,695.0,13.0,22324.0,55.9,1.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
28924,10000,337.47,MORTGAGE,10833.33,695.0,30.0,4701.0,34.8,1.0,LAST FIVE,LAST TEN,5_TO_9_YRS,Not Delinquent
28925,9600,337.47,RENT,4416.67,669.0,26.0,19104.0,80.3,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28927,10000,337.47,RENT,2916.67,695.0,25.0,12070.0,44.3,0.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
28928,10000,337.47,RENT,2666.67,695.0,34.0,18252.0,77.0,0.0,NEVER,NEVER,10_YRS_PLUS,Delinquent
28929,13500,337.48,RENT,3416.67,732.0,13.0,20139.0,75.4,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28930,13500,337.48,RENT,5416.67,695.0,19.0,14804.0,90.8,2.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
28933,14675,337.6,RENT,2500.0,695.0,10.0,6151.0,66.1,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28934,9600,337.61,RENT,2916.67,669.0,11.0,6596.0,51.5,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
28935,9500,337.62,MORTGAGE,3833.33,669.0,34.0,16049.0,97.3,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28936,15100,337.65,RENT,4081.67,732.0,24.0,5221.0,41.0,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
28937,10000,337.71,RENT,2791.67,770.0,4.0,26.0,0.6,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28938,10000,337.71,RENT,3750.0,732.0,33.0,2025.0,15.6,1.0,LAST FIVE,NEVER,0_TO_4_YRS,Delinquent
28939,10000,337.71,RENT,4584.67,695.0,7.0,14588.0,94.1,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28940,10000,337.71,OWN,3833.0,695.0,23.0,18049.0,66.8,2.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
28941,10000,337.71,MORTGAGE,5833.33,695.0,46.0,27200.0,69.2,4.0,LAST FIVE,NEVER,5_TO_9_YRS,Delinquent
28942,10000,337.71,RENT,3833.33,695.0,21.0,4351.0,33.7,0.0,NEVER,NEVER,0_TO_4_YRS,Delinquent
28943,10000,337.71,RENT,1750.0,695.0,15.0,10090.0,29.7,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28944,10000,337.71,RENT,3583.33,695.0,29.0,10193.0,44.9,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
28946,10000,337.71,RENT,7083.33,695.0,27.0,16528.0,22.9,1.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
28947,11000,337.75,RENT,5833.33,770.0,7.0,11638.0,36.4,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
28948,14125,337.75,RENT,3250.0,695.0,8.0,17982.0,45.0,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28949,14125,337.75,RENT,2700.0,695.0,8.0,11275.0,78.8,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
28950,11000,337.75,OWN,3800.67,732.0,11.0,10677.0,58.7,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
28951,11000,337.75,RENT,4416.67,732.0,22.0,14218.0,43.1,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28953,11000,337.75,RENT,3083.33,732.0,17.0,9532.0,64.8,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
28954,11000,337.75,RENT,4583.33,732.0,15.0,9670.0,42.9,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28955,11000,337.75,RENT,4208.33,770.0,20.0,5459.0,28.4,1.0,LAST TEN,NEVER,5_TO_9_YRS,Not Delinquent
28956,11000,337.75,MORTGAGE,6666.67,770.0,24.0,77.0,0.4,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28957,11000,337.75,RENT,4416.67,732.0,20.0,11770.0,47.0,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
28958,11000,337.75,RENT,5000.0,770.0,22.0,11425.0,35.9,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
28959,11000,337.75,RENT,3666.67,732.0,16.0,2974.0,18.2,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28960,11000,337.75,MORTGAGE,3750.0,732.0,20.0,9550.0,30.1,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
28961,11200,337.8,MORTGAGE,8000.0,770.0,23.0,11759.0,19.7,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28962,11200,337.8,RENT,3000.0,790.0,24.0,1402.0,20.3,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28963,11200,337.8,MORTGAGE,3333.33,770.0,19.0,2898.0,12.0,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
28964,11200,337.8,MORTGAGE,2600.0,770.0,19.0,3117.0,11.2,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28965,11200,337.8,MORTGAGE,10166.67,790.0,39.0,28001.0,30.1,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
28966,11200,337.8,RENT,6833.33,770.0,38.0,13249.0,28.6,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
28967,10800,337.83,RENT,6000.0,732.0,44.0,17862.0,41.4,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28969,10800,337.83,RENT,4358.33,732.0,21.0,2642.0,64.4,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28970,10800,337.83,MORTGAGE,5666.67,732.0,47.0,5152.0,12.1,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
28971,11100,337.84,RENT,6250.0,790.0,11.0,2157.0,3.8,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
28972,14000,337.86,MORTGAGE,3750.0,695.0,7.0,3680.0,43.8,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28973,14000,337.86,RENT,3250.0,695.0,13.0,13533.0,80.1,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28974,14000,337.86,MORTGAGE,5000.0,695.0,31.0,22446.0,83.4,1.0,LAST TEN,NEVER,10_YRS_PLUS,Not Delinquent
28975,10250,337.93,MORTGAGE,6666.67,770.0,29.0,7268.0,24.9,1.0,NEVER,NEVER,0_TO_4_YRS,Delinquent
28976,13200,338.01,RENT,3333.33,695.0,13.0,0.0,62.6,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28977,10000,338.01,RENT,2666.67,770.0,15.0,0.0,0.04,0.0,NEVER,NEVER,0_TO_4_YRS,Delinquent
28978,10000,338.01,RENT,7916.67,695.0,8.0,14822.0,76.4,0.0,NEVER,NEVER,0_TO_4_YRS,Delinquent
28979,10000,338.01,ANY,3680.0,695.0,11.0,8540.0,87.1,1.0,LAST TEN,NEVER,5_TO_9_YRS,Not Delinquent
28980,10000,338.01,RENT,5000.0,695.0,12.0,2263.0,17.7,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
28981,10000,338.01,RENT,2916.67,695.0,7.0,8907.0,61.9,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28982,10000,338.01,OWN,6000.0,732.0,8.0,3714.0,18.2,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28983,10000,338.01,RENT,4000.0,695.0,14.0,5082.0,37.6,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28984,10000,338.01,RENT,3333.33,695.0,30.0,9538.0,43.8,0.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
28985,10000,338.01,RENT,4166.67,695.0,15.0,7408.0,31.9,2.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
28987,10000,338.01,RENT,6666.67,695.0,30.0,13948.0,39.0,4.0,LAST YEAR,NEVER,0_TO_4_YRS,Not Delinquent
28988,10000,338.01,RENT,9166.67,695.0,17.0,12919.0,54.3,1.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
28989,10000,338.01,RENT,3000.0,695.0,21.0,8989.0,36.2,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28990,10000,338.01,OWN,5000.0,695.0,27.0,11188.0,42.7,2.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
28991,14125,338.04,RENT,3291.67,695.0,23.0,10531.0,65.8,1.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
28992,10000,338.05,RENT,3200.0,732.0,7.0,4861.0,72.6,0.0,NEVER,NEVER,0_TO_4_YRS,Delinquent
28993,10000,338.05,OWN,7083.33,732.0,5.0,4031.0,89.6,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28994,10000,338.05,RENT,2000.0,695.0,14.0,9347.0,66.3,1.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
28995,10000,338.05,RENT,4333.33,695.0,6.0,3817.0,81.2,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28996,10000,338.05,RENT,4500.0,695.0,11.0,17484.0,72.8,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
28997,9800,338.05,RENT,5558.33,695.0,20.0,4076.0,57.4,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
28998,10000,338.05,RENT,7721.0,695.0,23.0,3607.0,34.4,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28999,10000,338.05,RENT,4333.0,695.0,16.0,9177.0,82.7,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29000,10000,338.05,MORTGAGE,8150.0,695.0,22.0,11777.0,80.7,1.0,LAST TEN,NEVER,10_YRS_PLUS,Not Delinquent
29001,10000,338.05,RENT,3083.33,695.0,14.0,10217.0,62.7,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
29002,10000,338.05,RENT,4833.0,695.0,18.0,6331.0,46.6,0.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
29003,10000,338.1,RENT,2725.67,732.0,10.0,10994.0,30.5,0.0,JUST NOW,LAST TEN,10_YRS_PLUS,Not Delinquent
29004,10000,338.1,RENT,8500.0,669.0,14.0,27452.0,96.3,2.0,LAST TEN,NEVER,10_YRS_PLUS,Delinquent
29005,10000,338.1,RENT,5500.0,669.0,9.0,6673.0,40.9,4.0,LAST FIVE,NEVER,0_TO_4_YRS,Delinquent
29006,10000,338.1,MORTGAGE,4833.33,669.0,16.0,10055.0,54.9,3.0,JUST NOW,LAST FIVE,5_TO_9_YRS,Not Delinquent
29007,10000,338.1,RENT,5500.0,669.0,12.0,12008.0,54.2,3.0,LAST FIVE,JUST NOW,0_TO_4_YRS,Not Delinquent
29008,15250,338.15,RENT,3333.33,770.0,16.0,0.0,0.0,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
29009,10875,338.24,OWN,4291.67,732.0,15.0,7260.0,45.4,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
29010,9175,338.28,OWN,4166.67,669.0,6.0,9201.0,98.6,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
29011,15000,338.31,MORTGAGE,8750.0,732.0,21.0,16107.0,74.9,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
29012,15000,338.31,RENT,8750.0,732.0,34.0,25781.0,92.1,0.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
29013,10850,338.31,MORTGAGE,3333.33,732.0,14.0,10089.0,37.2,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
29014,15000,338.31,RENT,4166.67,732.0,21.0,2202.0,9.7,5.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29015,14975,338.36,MORTGAGE,9166.67,732.0,19.0,28369.0,66.4,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
29016,10000,338.39,OWN,10000.0,669.0,16.0,28653.0,89.3,0.0,JUST NOW,JUST NOW,10_YRS_PLUS,Delinquent
29017,10800,338.43,MORTGAGE,11250.0,790.0,31.0,10232.0,19.1,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29019,15525,338.49,OWN,5686.67,770.0,20.0,1726.0,6.1,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29020,10000,338.63,OWN,9166.67,669.0,20.0,276.0,55.2,3.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
29021,10000,338.63,RENT,5833.33,669.0,15.0,6577.0,51.4,3.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
29022,10000,338.63,MORTGAGE,3167.0,669.0,16.0,7681.0,81.7,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29024,10000,338.63,MORTGAGE,3583.33,695.0,20.0,4565.0,49.1,1.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
29025,10000,338.63,RENT,4500.0,669.0,13.0,13389.0,40.3,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29027,10000,338.63,MORTGAGE,5416.67,669.0,23.0,23194.0,43.8,3.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
29029,10200,338.64,RENT,5600.0,695.0,20.0,8712.0,72.0,5.0,JUST NOW,JUST NOW,0_TO_4_YRS,Delinquent
29030,10000,338.68,RENT,3750.0,695.0,6.0,3153.0,30.3,1.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
29031,10000,338.68,RENT,5000.0,695.0,26.0,3617.0,14.4,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
29032,10825,338.72,MORTGAGE,4500.0,732.0,24.0,6122.0,35.2,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
29033,10500,338.76,RENT,2916.67,732.0,20.0,0.0,0.0,0.0,LAST TEN,NEVER,0_TO_4_YRS,Delinquent
29035,15000,338.85,RENT,8166.67,732.0,9.0,16293.0,65.7,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
29036,15000,338.85,RENT,8750.0,790.0,23.0,5330.0,13.5,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29037,15000,338.85,MORTGAGE,3500.0,732.0,32.0,208.0,2.0,0.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
29038,15000,338.85,RENT,8375.0,732.0,10.0,13537.0,64.8,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
29041,15000,338.85,RENT,3083.0,770.0,13.0,839.0,4.6,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
29042,15000,338.85,OWN,7916.67,732.0,21.0,4925.0,31.6,0.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
29044,15025,338.88,MORTGAGE,4166.67,732.0,19.0,16437.0,93.4,1.0,NEVER,NEVER,0_TO_4_YRS,Delinquent
29045,11050,338.88,MORTGAGE,4833.33,732.0,23.0,14368.0,47.6,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29046,11050,338.88,RENT,4446.0,732.0,38.0,17787.0,40.0,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29047,9600,338.89,RENT,4250.0,695.0,13.0,14928.0,95.8,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29048,9600,338.89,MORTGAGE,4416.67,669.0,33.0,16753.0,68.7,2.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
29049,9600,338.89,RENT,4000.0,669.0,32.0,7611.0,56.4,2.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
29050,15000,338.93,RENT,9958.0,770.0,15.0,9269.0,40.3,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29051,15000,338.93,MORTGAGE,1950.0,732.0,16.0,1162.0,15.3,1.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
29052,15000,338.93,OWN,2500.0,732.0,17.0,16876.0,65.7,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29053,15000,338.93,MORTGAGE,2200.0,732.0,18.0,8236.0,29.1,3.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
29054,15000,338.93,MORTGAGE,2817.0,732.0,16.0,898.0,15.5,4.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
29055,15000,338.93,RENT,5000.0,732.0,13.0,8319.0,46.7,2.0,LAST TEN,LAST TEN,5_TO_9_YRS,Not Delinquent
29056,15000,338.93,MORTGAGE,3333.33,732.0,14.0,12713.0,41.4,2.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
29057,15000,338.93,MORTGAGE,7083.33,732.0,39.0,4664.0,49.1,3.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
29058,15000,338.93,MORTGAGE,3500.0,732.0,39.0,14244.0,17.5,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29059,15000,338.93,MORTGAGE,3708.33,732.0,46.0,16763.0,36.8,1.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
29060,15000,338.93,MORTGAGE,4500.0,732.0,30.0,18592.0,15.5,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29061,9800,338.96,MORTGAGE,6208.33,695.0,18.0,0.0,0.0,0.0,LAST YEAR,NEVER,10_YRS_PLUS,Delinquent
29062,10000,339.02,RENT,7483.0,650.0,17.0,7455.0,93.2,1.0,LAST YEAR,JUST NOW,0_TO_4_YRS,Not Delinquent
29063,10000,339.02,RENT,4333.33,695.0,14.0,9301.0,44.1,2.0,NEVER,NEVER,10_YRS_PLUS,Delinquent
29065,10000,339.02,MORTGAGE,5166.67,695.0,30.0,5911.0,95.3,1.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
29066,10000,339.02,OWN,3666.67,695.0,16.0,13323.0,89.6,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29067,10000,339.02,MORTGAGE,7591.0,695.0,27.0,3808.0,51.5,1.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
29068,10000,339.02,MORTGAGE,2500.0,695.0,33.0,4034.0,59.3,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29069,10400,339.06,RENT,2616.67,732.0,6.0,6206.0,35.3,0.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
29070,10400,339.06,RENT,4384.17,732.0,19.0,19859.0,63.4,0.0,NEVER,NEVER,5_TO_9_YRS,Delinquent
29071,14575,339.06,RENT,3750.0,732.0,40.0,17670.0,29.2,1.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
29072,15425,339.16,OWN,2600.0,732.0,22.0,15482.0,60.5,0.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
29073,15250,339.16,RENT,2500.0,732.0,25.0,13404.0,60.3,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29074,11000,339.2,MORTGAGE,10500.0,732.0,14.0,14764.0,58.8,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29075,11000,339.2,RENT,7083.33,732.0,19.0,12318.0,39.1,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
29076,10000,339.23,RENT,10833.33,695.0,20.0,26822.0,90.9,2.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
29077,10000,339.23,RENT,6250.0,732.0,11.0,26694.0,98.9,3.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29078,10000,339.23,RENT,4583.0,695.0,35.0,2432.0,24.1,1.0,LAST YEAR,NEVER,0_TO_4_YRS,Not Delinquent
29079,10000,339.23,RENT,5416.67,695.0,18.0,15351.0,77.9,1.0,LAST TEN,NEVER,10_YRS_PLUS,Not Delinquent
29080,10000,339.23,OWN,4166.67,695.0,7.0,10634.0,57.5,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29082,10000,339.23,MORTGAGE,7250.0,695.0,26.0,14943.0,54.3,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
29083,10000,339.23,RENT,6250.0,732.0,24.0,24485.0,26.3,5.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
29086,10000,339.25,RENT,3000.0,732.0,10.0,16552.0,97.1,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29087,10000,339.25,RENT,2000.0,770.0,4.0,0.0,0.0,4.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Delinquent
29088,11000,339.25,MORTGAGE,9750.0,790.0,13.0,2399.0,14.3,0.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
29089,16000,339.25,RENT,4333.33,790.0,8.0,1631.0,11.3,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
29090,10000,339.25,MORTGAGE,3393.33,695.0,17.0,4391.0,73.2,1.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
29091,10000,339.25,RENT,2916.67,695.0,11.0,13071.0,50.3,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
29092,16000,339.25,OWN,3333.33,790.0,23.0,13270.0,28.5,1.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
29093,10000,339.25,MORTGAGE,1916.67,695.0,13.0,3105.0,20.6,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Delinquent
29094,10000,339.25,RENT,5750.0,695.0,13.0,4896.0,56.9,0.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
29095,10000,339.25,RENT,2916.67,695.0,13.0,3325.0,49.6,1.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
